type-problem,pertanyaan,jawaban
1,Sebutkan bakteri apa saja yang terlibat dalam pembuatan tanaman transgenik!,"Bacillus thuringiensis, Agrobacterium tumefaciens"
2,Jelaskan perbedaan antara meristem primer dengan meristem sekunder! ,"Meristem primer terlibat dalam pertumbuhan primer, berasal dari jaringan embrionik, terjadi di awal pertumbuha, terjadi di bagian apikal, dan bertanggung jawab untuk menambah tinggi tanaman. Meristem sekunder terlibat dalam pertumbuhan sekunder, berasal dari jaringn permanen, terjadi selama pertumbuhan sekunder, terjadi di bagian lateral tanaman, dan bertanggung jawab untuk memperlebar tanaman."
3,Apa yang dimaksud dengan masa dormansi biji? Apa yang mempengaruhi?,"Dormansi biji adalah keadaan ketika biji mencegah bahkan dalam kondisi lingkungan yang biasanya menguntungkan untuk perkecambahan. Dipengaruhi oleh air,cahaya,suhu,gas,dan hormon."
4,Apakah yang dimaksud perkembangan?,"Perkembangan  adalah transformasi suatu orgnaisme  kedalam bentuk yang lebih komplex secara fungsi dan organisasi, sifatnya quantitative dan qualitative. Perkembangan terus terjadi selama hidup organisme"
5,Di daerah diferensiasi terdapat tiga sistem jaringan yang dihasilkan dari sel-sel meristem. Sebutkan dan jelaskan!,"Jaringan dermal adalah perlindungan mencegah kehilangan air, seperti epidermis. Jaringan dasar adalah cadangan makanan, dan regenerasi perlindungan seperti parenkim, kolenkim, klorenkim dan sklerenkim. Vaskuler adalah transportasi air dan mineral seperti xilem dan floem."
6,Sebutkan lapisan sel yang dikemukakan oleh Hanstein dalam teori histogen!,"Plerom, periblem, dan dermatogen."
7,Jelaskan cara untuk mencegah terjadinya pembusukan atau kerusakan pada saat pemeraman buah!,"Hampir Setiap buah menghasilkan hormon tanaman seperti gas etilen contohnya apel, alpuket, manga, tomat. Gas etilen berperan dalam mempercepat pembatangan buah. Sehingga supaya tidak busuk harus dipisah per buah. Bisa juga ditambahkan hormon penghambat pematangan seperti sitokinin. Suhu semakin dingin lebih baik, untuk melambatkan metabolisme. Penyimpanan dapat dilakukan di ruang tertutup atau dilapisi sehingga gas etilen terisolasi."
8,Bagaimana kaitan transpirasi terhadap pertumbuhan tanaman?,Transpirasi merupakan proses keluarnya uap  air dari tanaman melalui stomata. Tanaman memanfaatkan uap air tersebut untuk proses fotolisis atau bagian dari proses  fotosintesis. 99% air yang diserap tanaman melalui akar dikeluarkan melalui transpirasi
9,Apa yang dimaksud dengan hipotesis?,Hipotesis adalah penjelasan dari suatu fenomena sebelum dilakukan percobaan. Hipotesis juga dapat disebut sebagai dugaan awal atau kesimpulan sementara sebelum dilakukannya eksperimen.
10,Mengapa kelembapan udara merupakan salah satu faktor yang memengaruhi pertumbuhan dan perkembangan pada tumbuhan?,"Saat tanaman melakukan transpirasi, kelembaban udara tinggi di sekitar daun jenuh dengan uap air. Ketika tingkat kelembaban relatif terlalu tinggi atau kurangnya sirkulasi air, tanaman tidak dapat membuat uap air atau tidak dapat mengambil nutrisi dari tanah. Sehingga tanaman akan terganggu pertumbuhan dan perkembangannya."
11,Sebutkan ciri-ciri akar serabut!,"Ciri-ciri akar serabut adalah ditemukan di monokotil, memiliki akar, dapat berkembang dari daun atau batang, dan tidak dapat bertahan dari kekeringan."
12,Sebutkan fungsi batang pada tumbuhan!,"Batang memiliki lentisel yang berfungsi untuk pertukaran gas untuk membuang karbondioksida dan mendapatkan oksigen,  cadangan makanan, penghubung antara akar dan daun dalam transportasi hasil fotosintesis dan air tambah unsur hara, penyangga bagian tubuh"
13,Apa yang dimaksud dengan partenokapri?,Partenokarpi adalah produksi buah  alami atau buata tanpa terjadi pembuahan di ovula. Jadi intinya membuat buah tanpa biji
14,Apa yang dimaksud dengan pertumbuhan?,Pertumbuhan adalah peningkatan ukuran sel dan jumlahnya selama riwayat hidup oranisme tersebut. Bersifat quantitatif dan level seluler. Dapat diukur  dan berhenti ketika sudah dewasa. Penambahana ukuran dan masa untuk periode tertentu
15,Sebutkan dua faktor yang memengaruhi pertumbuhan !,Nutrisi  dan lingkungan
