type-problem,jawaban,score
1,Bakteri penyubur tanaman,1
1,"Entahlah, yang jelas bakteri berplasmid",1
1,Bakteri baik Bakteri hasil mutasi.,1
1,Bakteri,0
1,"Pseudomonas syringae, agrobacterium tumefaciens, bacillus thuringiensis",4
1,"Thiobacillus ferooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis",4
1,"agrobacterium tumefaciens,",5
1,mikobacteria,4
1,E. Coli,3
1,E.coli,4
1,"Afro bacterium, Thiobacillus sp",3
1,Bacillus thuregenesis,4
1,Bacillus turingiensis dan Agrobacterium tumefacient,4
1,Bakteri,0
1,-,0
1,Bakteri,0
1,1.Thiobacillus ferrooxidans 2. Agrobacterium tumefaciens 3. Bacillus thuriengensis 4. Acetobacter xylinum,4
1,Bakteri,0
1,Acetobacter xylinum,1
1,Bakteri yang digunakan untuk membuat tanaman transgenik salah satunya adalah bakteri Bacillus thuringiensis yang berguna untuk memproduksi antigen untuk pestisida alami,4
1,"Bakteri E coli,",4
1,Thiobacillus ferooxidans dan Agrobacterium tumefaciens,4
1,Bacillus thuringiensis.,4
1,Bakteri yang terlibat dalam pembuatan tanaman transgenik yaitu Bacillus Turingiensis dan  A,4
1,Bakteri Escherichia Coli,4
1,Agrobacterium tumefaciens dan Acetobacter xylinum,4
1,"bakteri Agrobacterium tumefaciens, dan elektroporasi",4
1,Pa,0
1,Saya tidak tau,0
1,"Agrobacterium tumefacciens, Bacillis thuringiensis",4
1,Agrobacterium tumefaciens,4
1,Saya kurang tau kak,0
1,Tidak tau,0
1,Acetobacter xylinum,1
1,Bakteri e.coli,3
1,"Rhizobium sp, Bacillus thuringiensis, Arabidopsis thaliana",3
1,.,0
1,E coli,3
1,agrobacterium tunefaciens,3
1,Tidak tau,0
1,"Bacillus thuringiensis, Agrobacterium tumefaciens",5
1,tidak tahu,0
1,Agrobacterium tumefaciens,4
1,Tidak tahu,0
1,Mana saya tau kalau saya tida sercing bapa..,0
1,bacillus thurigiensis,3
1,Contoh dari monera,0
1,"Thiobacillus ferrooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis , Acetobacter xylinum",4
1,Agrobacterium tumefaciens,4
1,Agrobacterium tumefaciens,4
1,1. Bakteri erwinia penambahan kromosom pada padi. 2.Bacillus thurigiensis pada jagung,4
1,Bakteri leugiminose,1
1,Transgenetika,0
1,Agrobacterium tumefaciens dan elektroporasi,4
1,Bacillus thuriengensis.,3
1,"Bakteri yang terlibat dalam pembuatan tanaman transgenik yaitu, Thiobacillus ferooxidan, Agrobacterium tumefaciens, bacillus thuriengensis dan acetobacter xylinum.",3
1,"Terdapat empat macam bakteri yang berperan aktif dalam tanaman transgenik yaitu Thiobacillus ferrooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis, Acetobacter xylinum",3
1,Nitrosococus,1
1,Bakteri Agrobactgerium tumefaciens,3
1,Acetobacter xylinum,1
1,Bakteri sintesis,1
1,Bacillus thuringiensis,4
1,0,0
1,"Agrobacterium tumefaciens,",4
1,Bacillus thuringensis,3
1,Tanaman peralihan.,1
1,belum tahu,0
1,Bakteri alami,1
1,belum tau,0
1,Bakteri,0
1,Escherichia coli,4
1,gatau,0
1,acetobacter,1
1,Tidak tau.,0
1,bakteri agrobacterium tumefaciens,3
1,"Bacillus thuringensis, Rhizobium",3
1,bakteri BT,4
1,Bakteri,0
1,Tida tau,0
1,Pokoknya bakteri yang baiklah :),0
1,Penicillin,1
1,d,0
1,Argobacterium,3
1,"Agrobacterium tumifaciens, Bacillus thuringensis, Acetobacter xylium",4
1,"Thiobacillus ferrooxidans, Acetobacter xylinum",1
1,agrobacterium tumefaciens dan bacillus thuriengensis,4
1,Agrobacterium tumefaciens,4
1,arduino uno,0
1,"rhizopus oryzae, aspergillus wentii, agrobacterium, bacillus thuringiensis",3
1,Agrobacterium,3
1,saccaromyces,1
1,"Escerichia coli, Agrobacterium (mungkin)",4
1,Agrobacterium tumefaciens,4
1,E.Coli,3
1,maaf saya tidak tau,0
1,"Thiobacillus ferrooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis, Acebacter xylinum",3
1,Bakteriofag,1
1,Bachillus thuringiensis dan Agrobacterium tumifaciens,4
1,"Spirulina,chlorella",1
1,Mikroba,1
1,Agrobacterium tumefaciens,4
1,belum tahu,0
1,saya kurang tahu,0
1,bakterii,0
1,"E.coli,aspergillus",2
1,lupa:(,0
1,Azetobacter xyllinum,1
1,eubacteria,1
1,"E.Coli, Rhyzopus Oryzae",2
1,"Thiobacillus ferrooxidans, Agrobacterium tumefaciens",3
1,"thiobacillus ferooxidans, agrobacterium tumefaciens, bacillus thuriengensis, acetobacter xylinum",3
1,lupaa,0
1,tidak tahu.,0
1,Tidak tau,0
1,bakteri Agrobacterium sp.,4
1,Bakteri BT,4
1,Bakteri tumafengensis dan thuringensis,3
1,"Bacillus thuringiensis, Thiobacillus ferooxidans,argobacterium tumefaciens,",3
1,"thiobacillus ferrooxidans, agrobacterium tumefaciens, bacillus thuriengensis, acetobacter xylinum",3
1,h,0
1,tidak tahu,0
1,"Arobacterium tumefaciens, Bacillus thuringiensis dan Rhizopus sp",3
1,Tidak tau,0
1,Tidak tahu,0
1,.,0
1,"Thiobacillus ferooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis, Acetobacter xylinum",3
1,Estheria Coli ? BT?,3
1,Spyrogira,1
1,Bakteri transgenik,1
1,"agrobacterium, bacillus turingiensis, umbellularia",3
1,E coli,3
1,Nitrococcus,1
1,Saya tidak tahu.,0
1,tidak tau.,0
1,"Bacillus thuringiensis, E.coli",5
1,Acetobacter xylinum.,1
1,escheria coli,3
1,Azotobacter,1
1,lactobaccilus,1
1,Echericia coli,3
1,Agrobacterium tumefaciens,4
1,gatau:(,0
1,Gatau,0
1,"Agrobacterium tumefaciens, Bacillus thuriengensis",4
1,Ada banyak bakteri yang terlibat. Tapi saya tidak tahu.,0
1,Baccilus thuringiensis,3
1,"Thiobacillus ,agrobacterium,bacillus,acetobacter",2
1,Nitrosococcus,1
1,saccharomyces,1
1,A,0
1,"vektor, tanaman donor, tanaman resipien",1
1,Agrobacterium tumefeciens,3
1,dd,0
1,tidak tahu,0
1,"bakteri Rhizobium sp., Nitrobacter, Nitosococcus, Nitrosomonas",1
1,E.coli,3
1,gatau,0
1,Agrobacterium,3
1,Bakteri,0
1,Acetobacter xylinum,1
1,"Agrobacterium tumefaciens, gen bakteri ini sering digabungkan ke tumbuhan sehingga tumbuhan punya sifat menguntungkan seperti menyuburkan tanah tempat ia ditanam. Bacillus thuriengensis, saat pembentukan endospora, bakteri ini menghasilkan protein yang dapat membunuh ulat bulu, sehingga sering dijadikan pestisida.",5
1,Bakteri yang terlibat dalam pembuatan transgenik adalah tidak mengetahui.,0
1,"bakteri transkripsi,",1
1,nitrococcus,1
1,gatau,0
1,1,0
1,rhizobium,1
1,bakteri yang terlibat dalam pembuatan tanaman adalah bakteri bacillus,2
1,"E.choli,",2
1,Bakteri marcobaksilus,1
1,Bakteri yang terlibat adalah bakteri gram positif DNA bakteri gram negatif,1
1,Siap tidak tahu,0
1,Lupa,0
1,"Thiobacillus ferooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis dan Acetobacter xylinum",3
1,"bakteri lactobacyllus, bakteri baik",1
1,e. Coli,2
1,"Thiobacillus ferrooxidans,Agrobacterium tumefaciens, Bacillus thuriengensis ,Acetobacter xylinum",3
1,"Streptococus, Acetobacter.",1
1,Eschericia coli,3
1,Agrobacterium tumefaciens Bacillus thuringiensis  Rhizobium sp,4
1,"Thiobacillus ferooxidans, Agrobacterium tumefaciens, dan Bacillus thuriengensis",4
1,"thiobacillus thuringiensis, streptomyces griceus",1
1,"Terdapat bakteri Agrobacterium tumefaciens, Bacillus thuringiensis,  Klebsiela pneumoniae",4
1,Ryzobium legiminisarum,1
1,Tidak tahu,0
1,Tidak tahu,0
1,E.coli,3
1,"Bakteri nitrosococcus, bakteri nitrosomonas, dan nitrobacter.",1
1,Penicillium,1
1,Lactobacillus,1
1,"bakterio fag, e coli",1
1,Agrobacterium tumefaciens,4
1,A,0
1,Totipotensi,1
1,Archaebacteria,1
1,Agrobacterium tumefaciens,4
1,"Agrobacterium,thiobacillus,bacillus thuriengenesis",3
1,"lactobacillus bulgaricus, acetobacter xylinum, propioni bacterium",1
1,Agrobacterium,3
1,Volvaella,1
1,Bakteri buatan,0
1,Rhizopus sp. dan Sacharomyces cereceviae.,1
1,Bakteri,0
1,Agrobacterium tumefaciens,4
1,Ga tau,0
1,Ngga tau,0
1,Acetobacter,1
1,Lupa,0
1,"Bakteri e coli,cholera sp",2
1,"Thiobacillus ferrooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis, Acetobacter xylinum",3
1,Tak tahu,0
1,"Thiobacillus ferooxidans, Agrobacterium tumefaciens, Bacillus thuriengensis, dan Acetobacter xylinum",3
1,bakteriofage,1
1,Essensia coli,2
1,"Nitrobacter, nitrosomonass",1
1,Agrobacterium tumefacienstd,2
1,Acetobacter xylinum,1
1,Agrobacterium,3
1,Bakteri E.coli,4
1,bakteri bakteri yang biasa ada pada tanaman transgenik,0
1,"Nitrobacter,",1
1,.,0
1,Bakteri gram positif dan gram negatif,1
